feature,sys,dia,tl,hdl,ldl
cl_183,0,0.018051227,0.005391194,0.000240912,0.001253958
cl_300017,0,0.012945188,0.010816957,0,0.003321938
cl_ct_fatty_liver,0,0,0,0,0
cl_269008,0.003216686,0.057506926,0.002098278,2.79E-05,0.004294555
cl_renalusg_right,0,0,0,0,0
cl_269009,0,0,0,0,0
cl_renalusg_left,0,0,0,0,0
cl_pm300036,0,0,0,0,0
cl_cat0212,0,0,0,0,0
cl_cat0210,0,0,0,0,0
cl_cat0217,0,0,0,0,0
cl_cat0216,0,0,0,0,0
cl_cat0215,0,0,0,0,0
cl_10002,0.111935556,0,0.004315357,0.004084084,0.015520156
cl_carotid_plaque,0,0,0,0,0
cl_pm3731,0,0,0,0,0
cl_pm3730,0,0,0,0,0
cl_1815,0.247832265,0.102990245,0.012129833,0.003749768,0.000168881
cl_1814,0.091873268,0.042259213,0.007758272,0.001567176,0.001103762
cl_pm3485,0,0,0,0,0
cl_pm3486,0,0,0,0,0
cl_hx_ca,0,0,0,0,0
cl_269006,0.020055536,0.005931645,0.000461433,0.000257642,0.002183109
cl_hx_gout,0.254948431,0,0,0,0
cl_2372,0,0,0.022753782,0,0.020117098
cl_pm3207,0,0,0,0,0
cl_family,0,0,0,0,0
cl_10003,0.099593792,0.063056438,0.030177281,0.000218874,0.002585333
cl_269005,0,0,0,0,0
cl_10004,0,0,0,0,0
cl_cardusg_avsize,0,0,0,0,0
cl_pm2231,0,0,0,0,0
cl_pm2230,0,0,0,0,0
cl_pm2233,0,0,0,0,0
cl_pregenancy,0,0,0,0,0
cl_cat0730,0,0,0,0,0
cl_retinal,0,0,0,0,0
cl_pm669024,0,0,0,0,0
cl_269007,0,0,0.001088966,0.000581306,0.003730458
cl_ecg,0.523397086,0.348029609,0,0,0
cl_ct_heart,0.115270595,0,0,0,0
cl_hx_cvd,0,0,0,0,0
cl_2405,0.839958079,0.309111151,0.011172225,0,0.027195268
cl_pm3192,0,0,0,0,0
cl_pm3191,0,0,0,0,0
cl_pm3190,0,0,0,0,0
cl_pm3197,0,0,0,0,0
cl_pm3196,0,0,0,0,0
cl_pm3195,0,0,0,0,0
cl_3193,0,0,0,0,0
cl_cat0987,0,0,0,0,0
cl_cat0986,0,0,0,0,0
cl_cat0985,0,0,0,0,0
cl_cat0984,0,0,0,0,0
cl_cat0983,0,0,0,0,0
cl_cat0982,0,0,0,0,0
cl_cat0981,0,0,0,0,0
cl_cat0980,0,0,0,0,0
cl_1321,0,0,0,0,0
cl_cat0213,0,0,0,0,0
cl_1322,0,0,0,0,0
cl_liverusg_digit,0,0,0,0,0
cl_hx_gastro,1.422824117,0.538561686,0.037673859,0,0
cl_1127,0.009013616,0.014787325,0.002089898,8.80E-06,0.001072281
cl_cardusg_bp,0.016943978,0.001157653,0,0.001244006,0.012293223
cl_cat1315,0,0,0,0,0
cl_pm3189,0,0,0,0,0
cl_heart_size,0,0,0,0,0
cl_comb_hx_bp,0,0,0,0,0
cl_gallusg,0,0,0,0,0
cl_pm2228,0,0,0,0,0
cl_pm2229,0,0,0,0,0.006841871
cl_cat0911,0,0,0,0,0
cl_cat0912,0,0,0,0,0
cl_aortic_artery_activity,0,0,0,0,0
cl_urine_micro,0,0,0,0,0
cl_cardusg_structure,0.12602149,0.123143337,0,0.005314548,0
cl_cat0929,0,0,0,0,0
cl_combine_smok,0,0,0,0,0
cl_cat0978,0,0,0,0,0
cl_hx_dm,0.843743142,2.250153688,0,0,0
cl_269019,0.127596724,0.025778897,0.001475315,0,0.000134925
cl_269018,0,0,0.017263907,0,0.008882023
cl_cat0979,0,0,0,0,0
cl_cat0976,0,0,0,0,0
cl_cat0977,0,0,0,0,0.016365078
cl_cat0974,0,0,0,0,0
cl_269011,0,0,0,0,0
cl_269010,0,0,0.001240524,0.00039222,0
cl_269013,0,0,0,0,0
cl_269012,0.023689199,0.105459097,0.006012828,0.000519524,0.007728208
cl_269015,0,0,0,0,0
cl_269014,0,0,0,0,0
cl_269017,0.052178697,0.047080676,0.001065689,0.002073543,0.001442175
cl_269016,0,0,0,0,0
cl_155,0.094700571,0.039381941,0.005444894,0,0
cl_bv_elasticity,0,0,0,0.00811704,0
cl_319,0.007584483,0.002979726,0.000498335,3.34E-05,0.001575105
cl_316,0,0.131827751,0.01355074,0.000991556,0
cl_317,0.060233063,0.080287102,0.001663258,0.000197883,0.001161292
cl_314,0.037899358,0.047557251,0.001165856,3.17E-06,0.002178831
cl_315,0,0.0204564,0,0.000565367,0.002989648
cl_312,0,0,0.019584485,0.009676397,0
cl_313,0.096124931,0.154333963,0.001694711,0.000573751,0.006579677
cl_carotid_end,0,0,0,0,0
cl_conslt_cardiovasc,0,0,0,0,0
cl_cat0972,0,0,0,0.000272149,0.001735777
cl_hp,0,0,0,0,0
